,DateLastVerified,ID,NumberOfPoints,DateLastStatusUpdate,DataQualityLevel,DateCreated,Address_ID,Address_Title,Address_Line1,Address_Town,Postcode,LAT,LON,UsageCost,MetadataValues,DateLastConfirmed,Address_Type
0,2023-03-21T12:10:00Z,258262,1,2023-03-21T12:10:00Z,1.0,2023-03-21T09:35:00Z,258646,Groene Kruisweg,Groene Kruisweg,Spijkenisse,3208,51.858566250616946,4.2936322845002906,,,,Straat
1,2023-03-15T11:19:00Z,256957,1,2023-03-15T11:19:00Z,1.0,2023-03-15T10:20:00Z,257341,De Wildkansel,De Wildkansel,,8251,52.521086139767704,5.731164197082762,,,,Straat
2,2023-03-04T15:56:00Z,238390,1,2023-03-04T15:56:00Z,1.0,2023-03-04T15:56:00Z,238774,Mc Donalds Ijsselstein,Lorentzlaan,IJsselstein,3401,52.014896340300794,5.06245760912293,,,,Restaurant
3,2023-03-04T15:52:00Z,238389,6,2023-03-04T15:52:00Z,1.0,2023-03-04T15:52:00Z,238773,Haje Allego Ultra E Nieuwegein Oost,Waterliniedok,Nieuwegein,3433,52.01118158983823,5.1220471338107245,,,,Straat
4,2023-03-04T15:49:00Z,238388,1,2023-03-04T15:49:00Z,1.0,2023-03-04T15:49:00Z,238772,Mc Donalds Nieuwegein ,Ravenswade,Nieuwegein,3439,52.04920110246246,5.117388801827872,,,,Restaurant
5,2023-03-04T14:27:00Z,238387,2,2023-03-04T14:27:00Z,1.0,2023-03-04T14:27:00Z,238771,Divers Woerden,Europabaan,Woerden,3446,52.075587540309186,4.901184234016853,,,,Straat
6,2023-03-04T14:16:00Z,238386,2,2023-03-04T14:16:00Z,1.0,2023-03-04T14:16:00Z,238770,Shell A12 Hellevliet,Rijksweg A12,Woerden,3481,52.08093975266934,4.983936303056225,,,,Tankstation
7,2023-03-04T14:11:00Z,238385,2,2023-03-04T14:11:00Z,1.0,2023-03-04T14:07:00Z,238769,Shell Recharge Veldhuizen,Veldhuizerweg,Harmelen,3481,52.0819105021566,5.003278715701072,,,,Tankstation
8,2023-02-23T20:59:00Z,235545,2,2023-02-23T20:59:00Z,1.0,2023-02-23T20:42:00Z,235929,Rivierenlaan 164,Rivierenlaan 164,Pijnacker,2641,52.008437986141985,4.438623144085568,,,,Straat
9,2023-02-21T13:18:00Z,235341,2,2023-02-21T13:18:00Z,1.0,2023-02-18T09:43:00Z,235725,Rosendaalsestraat 318,Rosendaalsestraat 318,Arnhem,6824,51.989283738948245,5.926502582741591,,,,Straat
10,2023-02-11T08:31:00Z,213619,2,2023-02-11T08:31:00Z,1.0,2023-02-08T14:38:00Z,213999,Avia Marees Den Oever,Havenweg 2,Den Oever,1779,52.92906820812402,5.028645395294689,€0.65 per kWh,,,Straat
11,2023-01-17T22:53:00Z,212424,4,2023-01-17T22:53:00Z,1.0,2023-01-17T14:01:00Z,212804,Meester Cramerweg,Meester Cramerweg,Hoogeveen,7913,52.710549409171165,6.517221954540901,€0.71/kWh,,,Straat
12,2023-01-17T22:53:00Z,212423,2,2023-01-17T22:53:00Z,1.0,2023-01-17T14:00:00Z,212803,Zeemansstraat,Zeemansstraat 21,Zaandam,1506,52.440784547014516,4.821080344094412,€0.71/kWh,,,Straat
13,2023-01-17T22:53:00Z,212422,8,2023-01-17T22:53:00Z,1.0,2023-01-17T13:57:00Z,212802,Oude Groenewoudseweg,Oude Groenewoudseweg 365,,6524,51.83215405018595,5.859914320165842,€0.71/kWh incl. VAT,,,Straat
14,2023-01-05T09:06:00Z,211127,2,2023-01-05T09:06:00Z,1.0,2023-01-05T09:04:00Z,211507,Parking Hoogvliet,De Halte 269,Ede,6711,52.04184477866,5.666623285234095,,,,Straat
16,2022-12-26T20:29:00Z,210962,2,2022-12-26T20:29:00Z,1.0,2022-12-26T14:44:00Z,211342,Jan Tinbergenweg,Jan Tinbergenweg 3,Zwaag,1689,52.68088528852729,5.084495657004027,,,,Straat
17,2022-12-13T14:18:00Z,210384,1,2022-12-13T14:18:00Z,1.0,2022-12-10T12:36:00Z,210764,Theemsstraat,Theemsstraat,Haarlem,2014,52.37507619143503,4.613204035808508,,,,Straat
18,2022-12-15T15:45:00Z,210349,2,2022-12-15T15:45:00Z,1.0,2022-12-09T16:18:00Z,210729,Parkeerterrein Regius College,Julianalaan,Schagen,1741,52.783795024517815,4.797450942261776,,,,Parkeerterrein
19,2023-01-17T22:54:00Z,209765,5,2023-01-17T22:54:00Z,1.0,2022-11-04T12:43:00Z,210145,Bavoort LEAP24 Semi-Fast charger,Treekerweg 28,Leusden,3832,52.12276082899771,5.400444811984585,"0,55 €/kWh",,,Straat
20,2022-10-16T09:57:00Z,208214,4,2022-10-16T09:57:00Z,1.0,2022-10-15T09:32:00Z,208594,Avelingen-West,Avelingen-West,Gorinchem,4202,51.8360073270031,4.939790531752465,,,,Straat
21,2023-02-13T21:02:00Z,208212,4,2023-02-13T21:02:00Z,1.0,2022-10-15T09:26:00Z,208592,50 Van Heemstraweg,50 Van Heemstraweg,West Maas en Waal,6658,51.87832100591848,5.522909074397148,,,,Straat
22,2022-10-10T19:59:00Z,207411,1,2022-10-10T19:59:00Z,1.0,2022-10-10T18:40:00Z,207791,4 Einsteinstraat,4 Einsteinstraat,Haarlem,2014,52.36773974028,4.612164531240637,,,,Straat
