,kenteken,voertuigsoort,merk,handelsbenaming,inrichting,eerste_kleur,massa_ledig_voertuig,wam_verzekerd,aantal_wielen,europese_voertuigcategorie,datum_tenaamstelling_dt,datum_eerste_toelating_dt,datum_eerste_tenaamstelling_in_nederland_dt,aantal_deuren,aantal_cilinders,vermogen_massarijklaar,brandstof_volgnummer,brandstof_omschrijving,emissiecode_omschrijving,klasse_hybride_elektrisch_voertuig,uitlaatemissieniveau,milieuklasse_eg_goedkeuring_licht
0,VX98HT,Bedrijfsauto,SUZUKI,SAMURAI VAN,gesloten opbouw,N.v.t.,1200,Nee,4,N1,1997-12-01T00:00:00.000,1993-10-22T00:00:00.000,1993-10-22T00:00:00.000,,0,0.01,1,Elektriciteit,Z,,,
1,VBR91Z,Bedrijfsauto,RENAULT,MASTER Z.E.,hoogwerker,N.v.t.,2940,Ja,4,N1,2021-12-15T00:00:00.000,2019-08-30T00:00:00.000,2019-08-30T00:00:00.000,,0,0.01,1,Elektriciteit,Z,,ZX,715/2007*2017/1347ZX
2,VBH29H,Bedrijfsauto,NISSAN,E-NV200,hoogwerker,N.v.t.,2055,Ja,4,N1,2019-07-30T00:00:00.000,2019-05-21T00:00:00.000,2019-07-03T00:00:00.000,,0,0.04,1,Elektriciteit,Z,,EURO 6,
3,VBH30H,Bedrijfsauto,NISSAN,E-NV200,hoogwerker,N.v.t.,2055,Ja,4,N1,2019-07-30T00:00:00.000,2019-05-21T00:00:00.000,2019-07-03T00:00:00.000,,0,0.04,1,Elektriciteit,Z,,EURO 6,
4,92YD97,Bedrijfsauto,CITROEN,HY-E,open laadvloer,N.v.t.,1775,Ja,4,N1,2022-02-17T00:00:00.000,1973-06-06T00:00:00.000,2022-02-11T00:00:00.000,3,,0.04,1,Elektriciteit,Z,,,
5,V097TR,Bedrijfsauto,STREETSCOOTER,WORK L,gecond. met temperatuurreg.,N.v.t.,2380,Ja,4,N1,2023-02-14T00:00:00.000,2018-07-19T00:00:00.000,2018-12-04T00:00:00.000,,0,0.02,1,Elektriciteit,Z,,ZX,715/2007*2016/646ZX
6,V596VJ,Bedrijfsauto,STREETSCOOTER,WORK L,gecond. met temperatuurreg.,N.v.t.,2380,Ja,4,N1,2022-02-25T00:00:00.000,2018-07-19T00:00:00.000,2019-01-07T00:00:00.000,,0,0.02,1,Elektriciteit,Z,,ZX,715/2007*2016/646ZX
7,V310ZD,Bedrijfsauto,NISSAN,NISSAN E-NV200,hoogwerker,N.v.t.,2015,Ja,4,N1,2019-05-10T00:00:00.000,2019-03-19T00:00:00.000,2019-04-18T00:00:00.000,,0,0.04,1,Elektriciteit,Z,,,
8,6VXX99,Bedrijfsauto,JINGDEZHEN CHANGHE,FREEDOM ELEKTRO,open wagen,N.v.t.,1560,Nee,4,N1,2017-01-23T00:00:00.000,2013-04-09T00:00:00.000,2013-04-09T00:00:00.000,,0,0.01,1,Elektriciteit,Z,,,
9,02BPK1,Bedrijfsauto,SPIERINGS,SK487-AT3,mobiele kraan,N.v.t.,35750,Ja,6,N3,2020-03-11T00:00:00.000,2020-03-11T00:00:00.000,2020-03-11T00:00:00.000,2,6,0.01,1,Elektriciteit,6,OVC-HEV,,
10,03BRK4,Bedrijfsauto,SPIERINGS,SK487-AT3,mobiele kraan,N.v.t.,35750,Nee,6,N3,2022-08-10T00:00:00.000,2021-03-18T00:00:00.000,2021-03-18T00:00:00.000,2,6,0.01,1,Elektriciteit,6,OVC-HEV,,
11,05BLZ4,Bedrijfsauto,SPIERINGS,SK487-AT3,mobiele kraan,N.v.t.,35750,Ja,6,N3,2022-11-15T00:00:00.000,2019-02-20T00:00:00.000,2019-02-20T00:00:00.000,,6,0.01,1,Elektriciteit,Z,NOVC-HEV,,
12,21BPN2,Bedrijfsauto,SPIERINGS,SK487-AT3,mobiele kraan,N.v.t.,35750,Ja,6,N3,2020-05-14T00:00:00.000,2020-05-14T00:00:00.000,2020-05-14T00:00:00.000,2,6,0.01,1,Elektriciteit,6,OVC-HEV,,
13,40BTG1,Bedrijfsauto,SPIERINGS,SK487-AT3,mobiele kraan,N.v.t.,35750,Ja,6,N3,2022-07-14T00:00:00.000,2022-07-14T00:00:00.000,2022-07-14T00:00:00.000,1,6,0.01,1,Elektriciteit,6,OVC-HEV,,
14,80BNF3,Bedrijfsauto,SPIERINGS,SK487-AT3,mobiele kraan,N.v.t.,35750,Ja,6,N3,2021-02-12T00:00:00.000,2019-04-03T00:00:00.000,2019-04-03T00:00:00.000,,6,0.01,1,Elektriciteit,Z,NOVC-HEV,,
15,VBJ53T,Bedrijfsauto,NISSAN,NISSAN E-NV200,hoogwerker,N.v.t.,1970,Ja,4,N1,2019-07-22T00:00:00.000,2019-07-15T00:00:00.000,2019-07-15T00:00:00.000,,0,0.04,1,Elektriciteit,Z,,ZX,715/2007*2015/45ZX
16,BE7159,Bedrijfsauto,CITROEN,AK,gesloten opbouw,N.v.t.,795,Ja,4,N1,2020-02-10T00:00:00.000,1967-06-22T00:00:00.000,2011-10-04T00:00:00.000,,0,0.03,1,Elektriciteit,Z,,,
